PresetName,Type,Root,Intervals,BAL,BALPattern,Labels
B diminished 1st,diminished,B,3|6|12,84,•••.,triad;1st_inversion
B diminished 2nd (106),diminished,B,6|12|15,106,•*••,triad;2nd_inversion;preferred
B diminished 2nd (74),diminished,B,6|12|15,74,••..,triad;2nd_inversion;alt
B augmented root,augmented,B,0|4|8,96,••••,triad;root
B augmented 1st,augmented,B,4|8|12,84,•••.,triad;1st_inversion
B augmented 2nd (106),augmented,B,8|12|16,106,•*••,triad;2nd_inversion;preferred
B augmented 2nd (74),augmented,B,8|12|16,74,••..,triad;2nd_inversion;alt
B sus2 root,sus2,B,0|2|7,96,••••,triad;root
B sus2 1st,sus2,B,2|7|12,84,•••.,triad;1st_inversion
B sus2 2nd (106),sus2,B,7|12|14,106,•*••,triad;2nd_inversion;preferred
B sus2 2nd (74),sus2,B,7|12|14,74,••..,triad;2nd_inversion;alt
B sus4 root,sus4,B,0|5|7,96,••••,triad;root
B sus4 1st,sus4,B,5|7|12,84,•••.,triad;1st_inversion
B sus4 2nd (106),sus4,B,7|12|17,106,•*••,triad;2nd_inversion;preferred
B sus4 2nd (74),sus4,B,7|12|17,74,••..,triad;2nd_inversion;alt
B Maj7 root,Maj7,B,0|4|7|11,96,••••,tetrad;root
B 7 root,7,B,0|4|7|10,96,••••,tetrad;root
B m7 root,m7,B,0|3|7|10,96,••••,tetrad;root
B mMaj7 root,mMaj7,B,0|3|7|11,96,••••,tetrad;root
B dim7 root,dim7,B,0|3|6|9,96,••••,tetrad;root
B m7b5 root,m7b5,B,0|3|6|10,96,••••,tetrad;root
B M6 root,M6,B,0|4|7|9,96,••••,tetrad;root
B m6 root,m6,B,0|3|7|9,96,••••,tetrad;root
B augM7 root,augM7,B,0|4|8|11,96,••••,tetrad;root
B add9 root,add9,B,0|4|7|14,96,••••,tetrad;root
B madd9 root,madd9,B,0|3|7|14,96,••••,tetrad;root
