,name,version
177,prompt_toolkit,3.0.51
133,pronouncing,0.2.0
362,propcache,0.3.2
11,protobuf,6.32.0
99,psutil,7.0.0
123,ptyprocess,0.7.0
340,pure_eval,0.2.3
63,py-cpuinfo,9.0.0
23,pycountry,20.7.3
304,pycparser,2.22
241,pycryptodome,3.23.0
73,pycryptodomex,3.23.0
199,pydantic,2.9.2
260,pydantic-extra-types,2.10.5
121,pydantic-settings,2.10.1
56,pydantic_core,2.23.4
89,pydot,1.4.2
69,pydub,0.25.1
62,pydyf,0.11.0
134,Pygments,2.19.2
95,pygraphviz,1.7
205,PyJWT,2.10.1
141,pylog,1.1
164,pyluach,2.2.0
198,pymc,4.0.1
168,PyMuPDF,1.21.1
39,PyNaCl,1.5.0
77,pyOpenSSL,21.0.0
373,pypandoc,1.6.3
181,pyparsing,3.2.3
124,PyPDF2,3.0.1
66,pyphen,0.17.2
159,pyproj,3.6.1
112,pyprover,0.5.6
337,pyshp,2.3.1
78,pyswisseph,2.10.3.2
75,pytesseract,0.3.8
305,pytest,8.2.2
173,pytest-asyncio,0.23.8
92,pytest-cov,5.0.0
245,pytest-json-report,1.5.0
351,pytest-metadata,3.1.1
258,pyth3,0.7
278,python-dateutil,2.9.0.post0
285,python-docx,0.8.11
127,python-dotenv,1.1.1
60,python-json-logger,2.0.7
162,python-multipart,0.0.20
376,python-pptx,0.6.21
269,pyttsx3,2.90
326,pytz,2025.2
178,PyWavelets,1.8.0
233,pyxlsb,1.0.8
179,PyYAML,6.0.2
372,pyzbar,0.1.8
24,pyzmq,27.0.2
137,qrcode,7.3
313,RapidFuzz,3.10.1
126,rarfile,4.0
287,rasterio,1.3.3
116,rdflib,6.0.0
222,rdkit,2024.9.6
345,referencing,0.36.2
58,regex,2025.7.34
10,reportlab,3.6.12
64,requests,2.31.0
249,resampy,0.4.3
348,rfc3339-validator,0.1.4
302,rfc3986-validator,0.1.1
217,rfc3987-syntax,1.1.0
57,rich,14.1.0
103,rich-toolkit,0.15.0
300,rpds-py,0.27.0
135,scikit-image,0.20.0
237,scikit-learn,1.1.3
118,scipy,1.14.1
53,seaborn,0.11.2
377,Send2Trash,1.8.3
387,setuptools,65.5.1
21,shap,0.39.0
22,Shapely,1.7.1
17,shellingham,1.5.4
130,six,1.17.0
215,slicer,0.0.7
191,smart-open,6.4.0
14,sniffio,1.3.1
201,snowflake-connector-python,2.7.12
67,snuggs,1.4.7
374,SoundFile,0.10.2
296,soupsieve,2.7
150,spacy,3.4.4
265,spacy-legacy,3.0.12
342,spacy-loggers,1.0.5
276,sqlparse,0.5.3
131,srsly,2.5.1
232,stack-data,0.6.3
175,starlette,0.37.2
286,statsmodels,0.13.5
16,svglib,1.1.0
44,svgwrite,1.4.1
381,sympy,1.13.1
295,tables,3.8.0
297,tabula,1.0.5
273,tabulate,0.9.0
289,tenacity,9.1.2
4,terminado,0.18.1
371,text-unidecode,1.3
81,textblob,0.15.3
90,thinc,8.1.12
180,threadpoolctl,3.6.0
214,thrift,0.22.0
341,tifffile,2025.6.11
309,tinycss2,1.4.0
185,toml,0.10.2
378,toolz,1.0.0
382,torch,2.5.1+cpu
140,torchaudio,2.5.1
203,torchtext,0.18.0
288,torchvision,0.20.1
206,tornado,6.5.2
252,tqdm,4.64.0
282,traitlets,5.14.3
224,trimesh,3.9.29
115,typer,0.16.1
149,types-python-dateutil,2.9.0.20250822
34,typing-inspection,0.4.1
0,typing_extensions,4.14.1
160,ujson,5.11.0
143,uri-template,1.3.0
145,urllib3,1.26.20
125,uvicorn,0.19.0
238,uvloop,0.21.0
316,Wand,0.6.13
182,wasabi,0.10.1
352,watchfiles,1.1.0
9,wcwidth,0.2.13
209,weasyprint,53.3
29,webcolors,24.11.1
50,webencodings,0.5.1
102,websocket-client,1.8.0
122,websockets,10.3
246,Werkzeug,3.1.3
391,wheel,0.43.0
19,wordcloud,1.9.2
281,wsproto,1.2.0
98,xarray,2024.3.0
12,xarray-einstats,0.8.0
32,xgboost,1.4.2
332,xlsxwriter,3.2.5
132,xml-python,0.4.3
94,xmltodict,0.14.2
261,yarl,1.20.1
270,zipp,3.23.0
51,zopfli,0.2.3.post1
